sample,min,q25,median,q75,max,mean,sd,mean_correlation,corr_z,outlier
GSM329721,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856086,0.19803204,0.8239955285269686,0.03989264365761082,False
GSM329722,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560665,0.19803207,0.8433624949753888,0.8871479157098464,False
GSM329723,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560826,0.19803277,0.8381502838878513,0.6591270052215382,False
GSM329724,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560913,0.19803269,0.8345810682298839,0.5029829445934502,False
GSM329725,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560868,0.19803198,0.825163166701215,0.09097382880937567,False
GSM329726,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560942,0.19803202,0.8434490494853788,0.8909344542523794,False
GSM329727,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560567,0.19803245,0.853799563701435,1.3437429909615703,False
GSM329728,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560802,0.19803211,0.7858920860385579,-1.6270355568752288,False
GSM329729,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856085,0.19803281,0.8484499840035248,1.1097125549410805,False
GSM329730,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560832,0.19803257,0.8399459736256149,0.737683840714707,False
GSM329731,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856086,0.19803219,0.7937575699103806,-1.2829407449493677,False
GSM329732,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856076,0.19803235,0.820960659450632,-0.09287512003747062,False
GSM329733,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560758,0.19803245,0.8304288597481023,0.3213344382969786,False
GSM329734,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560707,0.19803222,0.8140784897981924,-0.39395244862771894,False
GSM329735,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560764,0.19803225,0.8180288658092024,-0.2211335969592941,False
GSM329736,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560716,0.19803293,0.8365092844836118,0.58733747636686,False
GSM329737,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856071,0.19803211,0.8296164215511528,0.2857923441122564,False
GSM329738,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560716,0.19803192,0.8404053783578311,0.7577816233185356,False
GSM329739,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560746,0.19803247,0.8414250833724658,0.8023911109163102,False
GSM329740,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560776,0.19803214,0.8263520210770147,0.1429831685416065,False
GSM329741,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560805,0.19803259,0.7885413429495854,-1.5111373396264445,False
GSM329742,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.285608,0.19803205,0.8505123684858904,1.1999366037272816,False
GSM329743,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856069,0.19803205,0.843591736146767,0.897176630921329,False
GSM329744,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856088,0.19803247,0.8413621888099603,0.7996396345915,False
GSM329745,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560707,0.19803223,0.817487808263809,-0.24480348140088387,False
GSM329746,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856084,0.19803213,0.8242280525944996,0.05006497718332826,False
GSM329747,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856076,0.19803235,0.8147039459278929,-0.3665903418807787,False
GSM329748,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560752,0.19803217,0.837913675599221,0.6487759974637076,False
GSM329749,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560758,0.1980329,0.8514257407068878,1.239894303434519,False
GSM329750,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560665,0.19803257,0.7532837063384615,-3.053568808098021,False
GSM329751,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560844,0.19803251,0.7865140056748365,-1.599828162674735,False
GSM329752,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560707,0.19803256,0.8270969930248303,0.1755737867986702,False
GSM329753,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856084,0.19803174,0.8520191909374849,1.2658562339161517,False
GSM329754,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560895,0.19803287,0.6962292282611461,-5.5495563688725245,True
GSM329755,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560925,0.19803225,0.8375964090906834,0.6348963987810756,False
GSM329756,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560814,0.19803229,0.8035342178664165,-0.8552373900738903,False
GSM329757,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560808,0.19803219,0.8297231025410002,0.2904593646968548,False
GSM329758,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856078,0.19803245,0.8477832470226258,1.0805445164853227,False
