sample,hclust_cluster,kmeans_cluster,cluster_consensus
GSM329902,2,1,0.47665512561798096
GSM329903,2,5,0.8486261963844299
GSM329904,2,5,0.8456946015357971
GSM329905,2,5,0.8006435036659241
GSM329906,2,5,0.8254207968711853
GSM329907,2,5,0.8461663722991943
GSM329908,2,5,0.8615350127220154
GSM329909,2,5,0.6395907998085022
GSM329910,2,5,0.8401258587837219
GSM329911,2,5,0.8396933078765869
GSM329912,2,5,0.7473501563072205
GSM329913,2,5,0.8592146039009094
GSM329914,2,5,0.8466832041740417
GSM329915,2,5,0.8274721503257751
GSM329916,2,5,0.8456211686134338
GSM329917,2,5,0.8691201210021973
GSM329918,4,4,0.3570792078971863
GSM329919,2,5,0.8360629081726074
GSM329920,4,1,0.948011577129364
GSM329921,2,5,0.8498217463493347
GSM329922,2,5,0.4156772196292877
GSM329923,2,5,0.8096171617507935
GSM329924,2,4,0.30196598172187805
GSM329925,2,5,0.7981448173522949
GSM329926,2,5,0.8665395975112915
GSM329927,2,5,0.861906111240387
GSM329928,3,4,0.3595312237739563
GSM329929,2,5,0.85686856508255
GSM329930,2,5,0.8602743744850159
GSM329931,2,5,0.8266218304634094
GSM329932,2,5,0.8435066938400269
GSM329933,2,5,0.855650007724762
GSM329934,2,5,0.8468109965324402
GSM329935,2,5,0.8418245315551758
GSM329936,2,5,0.8401952981948853
GSM329937,5,4,0.9343475699424744
GSM329938,2,5,0.8483798503875732
GSM329939,2,5,0.8351585268974304
GSM329940,2,5,0.8618984818458557
GSM329941,3,3,0.9096108078956604
GSM329942,2,5,0.8402883410453796
GSM329943,2,5,0.8535135984420776
GSM329944,2,5,0.80109703540802
GSM329945,2,5,0.8556580543518066
GSM329946,2,5,0.8693065643310547
GSM329947,2,5,0.8587059378623962
GSM329948,2,5,0.8370522260665894
GSM329949,2,5,0.8398585319519043
GSM329950,5,4,0.8263527154922485
GSM329951,2,5,0.8403043746948242
GSM329952,2,1,0.4328900873661041
GSM329953,2,5,0.8459497690200806
GSM329954,2,5,0.8630579710006714
GSM329955,2,5,0.36554935574531555
GSM329956,2,5,0.8049650192260742
GSM329957,2,5,0.5121301412582397
GSM329958,2,5,0.8599433302879333
GSM329959,2,5,0.8481664061546326
GSM329960,2,5,0.8095199465751648
GSM329961,2,4,0.38411009311676025
GSM329962,2,5,0.8605818748474121
GSM329963,2,5,0.8387261033058167
GSM329964,2,5,0.6899406313896179
