sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,hclust_cluster,kmeans_cluster,cluster_consensus
GSM329476,-6.090682722115822,27.953619304956863,17.037555274787337,-4.506466735423429,9.88492958545669,-14.742340354617573,-5.519309454468457,-12.711731933093745,23.705359014661976,-11.376423478230846,3,3,0.9618542194366456
GSM329477,-28.973654986206064,41.50787984710372,-22.426331089828395,4.462744817045134,-0.8684246607736418,-6.092312603469843,-1.416199012608278,-6.7667720346423,19.861643942810822,6.903097647525514,3,3,0.965146541595459
GSM329478,1.835075752100772,35.17621469968029,-13.771934176199267,4.163940317301531,-5.630446777882637,-17.249273443802927,-15.103222741895143,-0.1310655500993149,23.414889681247395,-11.944661589506582,3,3,0.9635558128356934
GSM329479,-1.6298983292552685,31.9561979201077,0.9235492596713463,-5.464436586141001,-0.22738755131975055,-16.548101757289952,-2.6312498368077515,-17.36141569559835,16.14502819499712,-6.102045780656132,3,3,0.96250319480896
GSM329480,-6.964409549132283,15.403642347665274,16.883322945361705,0.2512011639024904,4.658809740972666,-17.07935242749486,11.937755470865477,-13.859082458536513,16.60136907158412,-4.481008845145087,3,3,0.9615762233734132
GSM329481,-5.981901045909505,26.732465848733685,8.10896962580345,-9.213849647384093,9.298842130774556,-21.2759472563626,0.9663439713998005,-5.135925504664516,12.2198659711097,1.8748824398940682,3,3,0.964143693447113
GSM329482,-11.294905765434379,22.529103617582205,32.5358106362507,-10.27427279985037,15.853910124198903,0.9639352340132161,-3.650683036564074,-5.935675514592657,24.79444575238085,2.24934322737971,3,3,0.9632240533828736
GSM329483,-6.443228628417326,26.456613087005376,14.739775927700416,-9.57012503196993,2.7811373910196324,-10.829354143184146,-11.426639973679503,-15.083458078299554,20.454197404469877,-10.493403171697796,3,3,0.9631600379943848
GSM329484,-10.510018993353837,34.515941861406255,16.172044310786827,-14.714493342005925,12.976082056929847,-16.17381144315012,-9.184999100423626,-12.951116773941012,27.08408150082482,2.010435980648181,3,3,0.9614911079406738
GSM329485,-6.716914562455168,11.115049677259092,10.724238313456738,3.676613036147789,6.202102764138678,-22.926006572259748,20.660271976812275,-2.5457714422796123,14.600352908635138,-6.336732927199199,3,3,0.9611709117889404
GSM329486,-7.371149687874538,23.82397765060252,-3.8087514318166305,1.0395276707080099,12.19260301226941,-15.920782565586208,5.952793281765915,-8.055854490686878,9.86534575990431,-15.318954648659028,3,3,0.9595050811767578
GSM329487,-16.329398081096922,14.592646408858759,25.350417471614893,-4.497857611140959,16.829315394218117,10.843123558057076,0.7102746091422806,-0.7226819577730912,18.66528338906328,-0.5707169108418003,3,3,0.9639809131622314
GSM329488,-3.1612271158863825,32.28104754103733,-1.833043034557143,-5.632403865701758,5.016818379591376,-28.722941590994804,2.276314240281539,-13.296260244969758,21.721281417745345,3.192491285342359,3,3,0.9605206251144408
GSM329489,-11.142053432881807,40.92531847894962,-12.672519102299784,-12.94799078601602,10.554670312754322,-13.516260429737057,-4.5429677164952516,-16.503337159786764,22.55903659170586,-4.206703024425391,3,3,0.9628790616989136
GSM329490,-9.362245012161493,30.353919531015155,14.973508822703208,15.711356294284341,4.34297096721829,-4.907773120974751,-13.706103840324111,1.492224986454874,5.043368968909824,2.7842848307144994,3,3,0.9610843062400818
GSM329491,-1.2950666787229317,20.32914880993984,22.67210142991794,16.99901129270899,1.5735417047093252,-8.080107722415628,-0.9939223482389409,14.748369045753584,-9.91324274263697,-2.8457053142271924,3,3,0.9611908197402954
GSM329716,-28.850849016470587,33.68852537297071,-17.291553706597824,2.6954203715184204,15.856344789405306,-11.572431480828783,5.205074717311522,0.028879751369785035,0.9801254492260904,2.3525019880650597,3,3,0.9648668766021729
GSM329717,-3.9299057695588475,17.414546253245007,26.230664859863406,14.552941928396256,18.773807958121356,25.078955714729453,-7.546580585973672,13.209966998064667,-9.797350401863358,9.525702424063121,3,3,0.9610835313796996
GSM329718,-13.80026083567639,44.04661108282562,-13.532932583102628,3.757189725801747,24.43948179323687,3.4028162176755457,0.018585715173294267,12.000494406485739,-9.111323294565478,1.253932870070813,3,3,0.9619847536087036
GSM329719,3.0491947675138067,9.992512735897671,12.341875811955134,19.317098535280383,15.28885923007134,-10.388570282751607,15.690099853341993,-9.13488516049774,-15.717231434766672,-5.099540939640959,3,3,0.9624799489974976
GSM329720,-14.88676945142374,46.8678566142323,-21.85120380940437,6.586908999909929,11.036271344207632,-8.817751620325732,-6.556371158529051,7.058931467719283,2.071378769089504,11.411825636600264,3,3,0.9665687084197998
GSM329721,-4.321978450200726,40.809798510876945,4.2383108316723535,4.30686007219935,15.343358200339168,5.15091411763529,-13.86678275476485,5.417993708883325,-15.359440321069872,-7.76471119107385,3,3,0.9599450826644896
GSM329722,-5.518942766932429,22.598303152298943,16.126922097046908,-15.230907141626147,15.01125650570513,1.2503475367036876,2.8695486047423615,1.2064854412891093,-6.222230876199439,5.616368775824475,3,3,0.9623132348060608
GSM329723,-19.655826530966657,31.214712336014678,18.621947050369055,18.557788550197422,5.576038671812321,-17.251870542189543,6.757290967947849,1.2842186409092176,-9.95623330083601,6.225967094651679,3,3,0.961131751537323
GSM329724,-22.49489813494286,19.28187637858362,28.09211918483193,21.860178626076713,7.4672539223501015,-2.688984211100016,3.9386264176140697,7.075413531903001,-6.07246486616597,-0.13345340187174287,3,3,0.9614795446395874
GSM329725,-15.761082184717877,28.659155362293326,23.084528621209945,13.708258204227468,18.481768459935587,-4.109660137006263,10.31083729814659,4.549746728116576,-8.621151208296912,3.972135453559781,3,3,0.9635839462280272
GSM329726,2.6181896347291715,22.968955709688064,12.906657333449607,2.7731645631961586,9.276587905986835,-14.045740840392003,15.369874238868478,9.412943965534934,-14.650181054133697,8.879174952998335,3,3,0.9594579935073853
GSM329727,7.154436653398589,12.039981822001074,18.136402516334467,5.666716862486746,19.659444417976577,4.545902339930673,4.186353122029376,9.759581117205729,-14.0835224674013,3.5003320339869957,3,3,0.9656389355659484
