gene,representative_probe,n_probes_for_gene,mean_expression
DAB2,201278_at,7,0.31905976
RFFL,228980_at,7,0.58562875
PDLIM7,203370_s_at,7,0.39526615
TCF7L2,212761_at,7,0.53962827
LINC01128,1557055_s_at,7,0.40052077
CYP19A1,203475_at,7,0.15164346
SESN3,225123_at,7,0.5166344
BLTP1,212779_at,7,0.62521785
SVEP1,236927_at,7,0.25623482
BRD4,202102_s_at,7,0.7400446
PARVA,215418_at,7,0.2186801
PANK2,218809_at,7,0.57523984
TMCC1,213349_at,7,0.392354
CD6,213958_at,7,0.48971337
LZTS1,1569159_at,7,0.22179629
AFDN,224685_at,7,0.3609862
HNRNPU,200594_x_at,7,0.7942811
SYNRG,64418_at,7,0.54922
USP34,212066_s_at,7,0.6656251
PDE1A,233547_x_at,7,0.11883557
ITGB1,211945_s_at,7,0.7456857
FGD2,1553906_s_at,7,0.56829554
MAP3K13,226190_at,7,0.49661955
GATM,203178_at,7,0.30504674
PCBP1-AS1,235482_at,7,0.44378567
SYNCRIP,217833_at,7,0.69126207
SYNJ2,212828_at,7,0.38208842
SYNPO2,225721_at,7,0.28524283
COL4A3,222073_at,7,0.20697598
ITGB3,204628_s_at,7,0.24896115
RHOJ,235131_at,7,0.31909418
ADRA1A,211489_at,7,0.18290569
PCNX1,229287_at,7,0.47616518
USP49,229351_at,7,0.43443882
DCAF7,224748_at,7,0.5112877
SNTB2,205315_s_at,7,0.3555571
ZNF224,229123_at,7,0.3898556
MTHFD2L,238762_at,7,0.4567506
SDHC,215088_s_at,7,0.64511245
EPG5,227638_at,7,0.4931701
ZNF148,203318_s_at,7,0.5647929
SORBS2,204288_s_at,7,0.13326971
MYEF2,232676_x_at,7,0.34854355
ANKH,223092_at,7,0.43820697
MYH11,201497_x_at,7,0.20957541
CHD9,229586_at,7,0.63389313
FNDC3B,225032_at,6,0.5364625
CHML,226350_at,6,0.5855638
CHD2,228999_at,6,0.65167785
MED14,202610_s_at,6,0.5299225
CPM,235019_at,6,0.31546718
INO80D,227931_at,6,0.497758
INPP4A,227087_at,6,0.5387738
TTLL3,210129_s_at,6,0.47228563
CR1,244313_at,6,0.39613566
CREM,209967_s_at,6,0.4220564
PRRC2C,211946_s_at,6,0.7555714
PSPC1,226574_at,6,0.61002475
TMF1,227685_at,6,0.52383083
GPR180,231871_at,6,0.32285476
SOS2,212870_at,6,0.59455544
ZMYND8,209049_s_at,6,0.61158097
SOX4,201417_at,6,0.66033345
EML4,223068_at,6,0.5165773
MYLIP,228098_s_at,6,0.70503616
FKBP15,31826_at,6,0.5623501
PPP4R3B,233759_s_at,6,0.60523874
RAB18,224787_s_at,6,0.63157976
LAMA3,1563772_a_at,6,0.2761505
L3MBTL1,213837_at,6,0.3175985
ITCH,239101_at,6,0.4599741
RAB2A,208734_x_at,6,0.6323567
HRK,237187_at,6,0.30104217
RHOQ,212120_at,6,0.56468004
DCUN1D1,218583_s_at,6,0.5243069
PCSK6,211263_s_at,6,0.21539457
PCM1,202174_s_at,6,0.6393692
RHOBTB3,225202_at,6,0.38420495
DBT,205370_x_at,6,0.74171585
TACC1,200911_s_at,6,0.7258099
PDE7A,223358_s_at,6,0.6179288
ERCC6L2,229710_at,6,0.4217806
