gene,representative_probe,n_probes_for_gene,mean_expression
MRPL52,226241_s_at,2,0.581827
MRPL51,223086_x_at,2,0.665625
ZNF29P,1567856_x_at,2,0.10435015
ANAPC7,225554_s_at,2,0.525095
ANAPC4,226917_s_at,2,0.6021874
ZNF330,209814_at,2,0.5942695
ANKEF1,222951_s_at,2,0.19973236
ANKDD1A,229497_at,2,0.32517433
ANKAR,1552438_a_at,2,0.17343044
ANHX,1556959_at,2,0.3015292
ZNF273,215239_x_at,2,0.5050984
ZNF318,203521_s_at,2,0.41650072
ZNF317,225296_at,2,0.56511426
ZNF316,227170_at,2,0.4028843
ZNF311,236551_at,2,0.16997845
ZNF350,219266_at,2,0.40167016
MRPS16,218046_s_at,2,0.4550367
MRPS14,203800_s_at,2,0.5360476
MRPS11,211595_s_at,2,0.49436334
LPAR5,230252_at,2,0.2931153
LPAR3,220816_at,2,0.14606024
LPAR2,206723_s_at,2,0.5072162
LPAL2,207762_at,2,0.10296446
LRFN2,237872_at,2,0.073094524
LRBA,212692_s_at,2,0.5204053
LRATD2,225864_at,2,0.36986881
LONRF2,235977_at,2,0.19965912
LPL,203549_s_at,2,0.29376876
LRP11,225060_at,2,0.27249584
MRPL39,218558_s_at,2,0.51786095
MRPL38,225103_at,2,0.43608466
MRPS18B,217408_at,2,0.5818918
MRPS18A,218385_at,2,0.44455478
ZNF324B,222318_at,2,0.30223656
ZNF322,227980_at,2,0.38722277
ZNF321P,1558888_x_at,2,0.15198153
ZNF320,241704_x_at,2,0.5686526
ZNF32-AS3,1557881_at,2,0.122664765
AMDHD2,219082_at,2,0.25258896
AMD1,201197_at,2,0.71474123
AMBP,214425_at,2,0.16018082
AMZ1,1561179_s_at,2,0.32847658
AMPD3,207992_s_at,2,0.55145705
MRPL47,223480_s_at,2,0.68437636
MRPL44,222555_s_at,2,0.47579116
LRFN4,219491_at,2,0.36092082
LRRC14,32062_at,2,0.5155836
LRRC1,218816_at,2,0.21467917
LRR1,235113_at,2,0.48939562
ZNF347,238819_at,2,0.2440747
ZNF345,207236_at,2,0.27434975
ZNF343,227986_at,2,0.3156592
ALPL,215783_s_at,2,0.28118277
ALPK3,228342_s_at,2,0.10509357
ALPI,211618_s_at,2,0.11673236
ALPG,216377_x_at,2,0.29418564
ALOXE3,207708_at,2,0.23125418
AMFR,202203_s_at,2,0.51680225
LPXN,216250_s_at,2,0.5851437
LRP3,204381_at,2,0.32477126
LRP2BP,227311_at,2,0.106116
LRP2,205710_at,2,0.24115339
LRRC34,236918_s_at,2,0.33398762
LRRC3,232536_at,2,0.166908
LRRC23,206076_at,2,0.23955153
MRPL23,213897_s_at,2,0.61648023
ALKBH8,235610_at,2,0.28733745
ALYREF,226319_s_at,2,0.56892776
ALPP,211619_s_at,2,0.2502769
ZNF337,37860_at,2,0.5342658
ZNF334,238566_at,2,0.10351175
ZNF331,219228_at,2,0.5214696
ZNF385C,241383_at,2,0.20932819
MRPL20,220526_s_at,2,0.64538646
MRPL2,229884_s_at,2,0.45992514
ZNF366,236570_at,2,0.22616878
ZNF365,206448_at,2,0.17704837
ZNF358,219379_x_at,2,0.2970943
MRAS,225185_at,2,0.23512691
MROH2A,1556167_at,2,0.11880082
MRNIP-DT,1559535_s_at,2,0.21998803
MRM2,218356_at,2,0.531061
LRRC2,231781_s_at,2,0.1935371
LRRC17,205381_at,2,0.19243644
LRRC15,213909_at,2,0.20217761
LRRC40,218577_at,2,0.59062374
LRRC39,227532_at,2,0.23081696
MRI1,228077_at,2,0.6179805
MRPL12,203931_s_at,2,0.48789155
MROH8,236618_at,2,0.15051475
LRP5,209468_at,2,0.2604677
LRRC37A7P,1569760_at,2,0.18601358
LRRC37A5P,1569839_s_at,2,0.16745377
LRRC37A4P,220219_s_at,2,0.45814118
LRRC37A3,229962_at,2,0.37661853
LRRC37A2,224686_x_at,2,0.5258546
LRRC59,222231_s_at,2,0.659018
LRRC58,225479_at,2,0.5710126
LRRC57,229232_at,2,0.52577466
LRRC4C,232226_at,2,0.1855588
ZNF384,212369_at,2,0.50822407
ZNF382,1557260_a_at,2,0.19274934
ZNF37A,228711_at,2,0.45636266
ALG2,225621_at,2,0.52637315
ALG14,1553954_at,2,0.3614416
ALOX15B,206714_at,2,0.20355244
ALOX12-AS1,229833_at,2,0.343616
ALDH3B2,204942_s_at,2,0.16027837
ALKBH3-AS1,1557564_at,2,0.13386571
ALKBH1,205621_at,2,0.42868826
ALK,208212_s_at,2,0.18495557
ALG9,219374_s_at,2,0.4548168
MPV17L,1559167_x_at,2,0.41850707
LRRC46,230600_at,2,0.26202402
LRRC8A,224624_at,2,0.6225844
LRRC77P,1556920_s_at,2,0.1172725
LRRC75B,228064_at,2,0.3373522
MPPED2,215692_s_at,2,0.19813918
MPPED1,241398_at,2,0.18028137
MPP4,1555099_at,2,0.12790573
MPP2,213270_at,2,0.28321096
MREG,219648_at,2,0.373615
MRC2,37408_at,2,0.4328261
LRRN4,1553169_at,2,0.18684569
LRRN3,209841_s_at,2,0.2744775
LRRN1,226884_at,2,0.18185753
LRRK1,219441_s_at,2,0.35997638
LRRIQ3,235498_at,2,0.14982696
MPHOSPH6,203740_at,2,0.51401436
MPEG1,226818_at,2,0.5109402
MPDZ,205079_s_at,2,0.14142714
MPDU1,209208_at,2,0.42002958
MPC2,202427_s_at,2,0.7014201
ZNF354C,228208_x_at,2,0.30338818
ZNF416,223589_at,2,0.28076494
ZNF414,227071_at,2,0.27646518
ZNF410,209944_at,2,0.63864017
ALDH5A1,203608_at,2,0.51778364
ALDH4A1,211552_s_at,2,0.28027973
AKAP8,203848_at,2,0.5735424
MOSPD1,218853_s_at,2,0.46399447
LRRC8E,220174_at,2,0.16434205
LSM12,212532_s_at,2,0.60455984
LRTOMT,226717_at,2,0.25955552
MORN4,228354_at,2,0.2747516
MORN3,210679_x_at,2,0.5634654
MORF4L2-AS1,1559002_at,2,0.2677237
MPO,203949_at,2,0.612788
ALDH1A2,207016_s_at,2,0.11852453
ALDH18A1,222416_at,2,0.53821725
ALAS2,211560_s_at,2,0.42346546
ALG10,1552306_at,2,0.25259614
ALG1,223355_at,2,0.28176805
ZNF394,214714_at,2,0.6264104
MPI,202472_at,2,0.38270473
ZNF45,222028_at,2,0.44192073
LRTM1,221612_at,2,0.18172535
LRSAM1,227675_at,2,0.29805416
LSP1P5,228158_at,2,0.34046435
LSP1P4,239718_at,2,0.20631082
LSMEM1,239203_at,2,0.24312288
MOGAT2,207491_at,2,0.21818607
MPC1,218024_at,2,0.66096574
MOV10L1,239257_at,2,0.13521469
MOV10,223849_s_at,2,0.3699748
MOSPD2,64883_at,2,0.35375214
ZNF436,226113_at,2,0.33348238
ZNF430,206829_x_at,2,0.52063847
ZNF43,206695_x_at,2,0.491985
ALDH1L1,205208_at,2,0.3114276
ALDH1B1,209646_x_at,2,0.25160658
LTO1,228676_at,2,0.24051972
LTK,207106_s_at,2,0.3064053
LTBP2,204682_at,2,0.29433382
MOB3A,225530_at,2,0.64523137
MORF4L1,217982_s_at,2,0.8141822
AKAP6,205359_at,2,0.22826032
AKAP5,230846_at,2,0.16618139
ALAD,218487_at,2,0.540363
AKTIP,218373_at,2,0.37630078
AKT1S1,224982_at,2,0.3227895
AKR7A3,206469_x_at,2,0.35642487
AKR7A2,214259_s_at,2,0.5786992
ZNF426,233354_at,2,0.39991868
ZNF425,242684_at,2,0.13442034
ZNF420,242761_s_at,2,0.36197257
ZNF419,58367_s_at,2,0.44137007
MOCS2,218212_s_at,2,0.3254388
MOCOS,219959_at,2,0.21546708
MOB4,202919_at,2,0.61650014
MOB3C,227066_at,2,0.35565305
LTBP1,202729_s_at,2,0.35679436
LTB,207339_s_at,2,0.60904896
ZNF449,228968_at,2,0.28910065
ZNF446,1554160_a_at,2,0.31273478
ZNF445,233992_x_at,2,0.37051964
ZNF444,50376_at,2,0.4636408
AK8,1557666_s_at,2,0.33931738
AK5,222862_s_at,2,0.18861412
AK3,224655_at,2,0.7249995
AKNA,225701_at,2,0.6429553
AKIP1,242515_x_at,2,0.4577026
LSM3,202209_at,2,0.6954801
LY6K,223687_s_at,2,0.12932026
MMP19,204575_s_at,2,0.21060328
MMP15,203365_s_at,2,0.15501349
MNT,204206_at,2,0.58205634
ZNF438,229743_at,2,0.30847076
AHCYL2,212814_at,2,0.42157543
AK1,202587_s_at,2,0.49333143
AIPL1,219977_at,2,0.23998727
AIP,201782_s_at,2,0.58336747
AGR2,228969_at,2,0.17577247
AIFM2,228445_at,2,0.28041342
AIF1L,223075_s_at,2,0.27139527
AKAP11,203156_at,2,0.5531106
ZNF441,1553193_at,2,0.26368347
MMUT,202960_s_at,2,0.5107554
MMP8,231688_at,2,0.50032896
AHNAK2,212992_at,2,0.11804648
ZNF473,213124_at,2,0.28247076
ZNF467,214746_s_at,2,0.45837194
ZNF502,232247_at,2,0.25733063
MMD2,230826_at,2,0.30712762
MMD,203414_at,2,0.58358246
LY6G6D,207457_s_at,2,0.22620411
LYPLAL1,226851_at,2,0.49335527
LYPLA1,212449_s_at,2,0.7072353
LYPD8,1568933_at,2,0.10084882
LYPD4,231266_at,2,0.17926499
MLYCD,218869_at,2,0.308132
MMP25,207890_s_at,2,0.39572176
LUM,229554_at,2,0.1581022
LTV1,225748_at,2,0.565286
LYAR,223413_s_at,2,0.4883253
LYVE1,219059_s_at,2,0.16981286
MLLT1,224993_at,2,0.5782397
MME,203435_s_at,2,0.32408822
ZNF527,244861_at,2,0.177089
ZNF521,226676_at,2,0.21314776
AFTPH,217939_s_at,2,0.6596471
AGPAT2,32837_at,2,0.47965562
AGPAT1,32836_at,2,0.5106598
AGER,210081_at,2,0.3213744
AGBL4,1553412_at,2,0.16428721
AGTR1,205357_s_at,2,0.22752135
AGPAT5,218096_at,2,0.60601085
AGPAT4,228667_at,2,0.30590698
AIDA,226801_s_at,2,0.6848806
AICDA,219841_at,2,0.1394255
AHSG,210929_s_at,2,0.17753224
LYRM4-AS1,1556555_at,2,0.2739045
LYRM4,218561_s_at,2,0.5720613
MAB21L2,210302_s_at,2,0.121408455
M6PR,200901_s_at,2,0.5727586
MKRN1,201285_at,2,0.6812746
MKNK2,218205_s_at,2,0.80330634
AFAP1L1,1555542_at,2,0.22434233
AFAP1-AS1,223779_at,2,0.22356969
AGAP11,1557380_at,2,0.091165975
ZNF514,235729_at,2,0.34522057
ZNF512,225050_at,2,0.56093746
ZNF510,206053_at,2,0.34800437
ZNF550,228099_at,2,0.4474834
MKKS,222530_s_at,2,0.49314216
LYZL1,230514_s_at,2,0.16623612
LYZ,213975_s_at,2,0.8074535
MAFK,226206_at,2,0.6000971
MISFA,231404_at,2,0.12622666
LZIC,226087_at,2,0.47872427
MADD,210252_s_at,2,0.5021122
MIR9-3HG,235936_at,2,0.16186121
MIR9-2HG,238850_at,2,0.11309006
MLEC,200616_s_at,2,0.56709397
MLANA,206426_at,2,0.13227336
ZNF547,1558995_at,2,0.18716593
ZNF544,218735_s_at,2,0.4640561
ZNF542P,239250_at,2,0.3319626
ADRA1D,210961_s_at,2,0.13162217
AFG1L,1552490_at,2,0.19537781
ZNF540,242697_at,2,0.19115824
MKS1,1555820_a_at,2,0.31887877
LYRM9,213195_at,2,0.37712663
ADNP,201773_at,2,0.6236047
AEBP2,225889_at,2,0.584819
ADTRP,229070_at,2,0.31933975
ADSS2,221761_at,2,0.5581974
ADSS1,238259_at,2,0.294134
ADSL,202144_s_at,2,0.66945326
ADRB3,206812_at,2,0.10104408
ADH6,214261_s_at,2,0.115183845
MIR3667HG,1570065_at,2,0.26681864
MIR7-3HG,223913_s_at,2,0.108965725
MIR600HG,223522_at,2,0.4339496
MIR570HG,1557293_at,2,0.39585045
MACROD1,219188_s_at,2,0.3476916
MACO1,241364_at,2,0.491017
MAGEA2,214603_at,2,0.13904805
MAG,216617_s_at,2,0.1387682
MIR4458HG,229347_at,2,0.17790858
MIR4435-2HG,232918_at,2,0.19742146
MIR3945HG,1559777_at,2,0.24752942
MAFG,204970_s_at,2,0.54389703
MAFF,36711_at,2,0.6150028
MAFB,222670_s_at,2,0.50354886
MAGED4B,221261_x_at,2,0.2507585
MAGED2,213627_at,2,0.5090523
MAGEC2,215932_at,2,0.11831069
MAGEB4,207581_s_at,2,0.094649434
ZNF532,220617_s_at,2,0.2233827
ZNF562,219163_at,2,0.48386598
ZNF561,235200_at,2,0.39844906
ADORA1,216220_s_at,2,0.24955337
ADO,212502_at,2,0.5255268
ADNP2,203322_at,2,0.602711
ZNF554,242864_at,2,0.27284753
ZNF552,219741_x_at,2,0.39918053
ZNF579,229140_at,2,0.35290384
ZNF578,1562244_at,2,0.19748074
MIR124-1HG,214839_at,2,0.16091885
MIPEPP3,243760_at,2,0.3696902
MIPEP,204305_at,2,0.30440485
MIR30DHG,229455_at,2,0.23191299
MIR23AHG,1555847_a_at,2,0.60746765
MIR210HG,236480_at,2,0.20236771
MAGEA5P,1553585_a_at,2,0.16594978
MAGOHB,218894_s_at,2,0.33431473
MAGOH2P,217693_x_at,2,0.35166943
MAGOH,210092_at,2,0.6221252
MIR205HG,226755_at,2,0.13153441
MIR194-2HG,1556717_at,2,0.20433378
MINDY3,218297_at,2,0.44377258
MINDY1,226062_x_at,2,0.5513309
MAGEE1,1556047_s_at,2,0.28857824
MAMDC2-AS1,1559656_a_at,2,0.16297646
MIIP,48659_at,2,0.58506364
MIGA1,235125_x_at,2,0.42146248
MIF4GD,223411_at,2,0.6234199
MIR137HG,1559504_at,2,0.06762934
MIR133A1HG,1558645_at,2,0.13623683
ADH5,208847_s_at,2,0.66744703
ADPRM,223401_at,2,0.553292
ADPRHL1,1553163_at,2,0.21058598
ADPGK,220980_s_at,2,0.6686826
ADORA3,206171_at,2,0.19524387
ADORA2A-AS1,237447_at,2,0.12808777
ZNF557,239259_at,2,0.21731694
ADGRG1,212070_at,2,0.48483795
ADGRF5,212950_at,2,0.15347213
ADK,204119_s_at,2,0.5496628
ADISSP,218081_at,2,0.49458528
ADIG,1554128_at,2,0.13941874
ZNF570,231215_at,2,0.36111432
ZNF569,1553696_s_at,2,0.31899655
ZNF595,227952_at,2,0.2837819
MAK,220302_at,2,0.1309092
MAN2A2,202032_s_at,2,0.59924704
MAN1C1,214180_at,2,0.294897
MAN1B1,65884_at,2,0.44300357
MIDEAS,225980_at,2,0.5293484
MID2,209733_at,2,0.27028584
MID1,203637_s_at,2,0.2268867
MINDY4,235559_at,2,0.28851253
MAP2,210015_s_at,2,0.17833024
MAP1LC3B,208786_s_at,2,0.7349324
MICA,205904_at,2,0.4249107
MIATNB,232340_at,2,0.35213494
ZNF594,235690_at,2,0.24431339
ZNF586,219711_at,2,0.54848546
ADGRB3-DT,1558795_at,2,0.12456747
ADGRB3,205638_at,2,0.12673374
ADGRA2,221814_at,2,0.2456948
ADGRL2,206953_s_at,2,0.1235649
ZNF585B,1557302_at,2,0.36446077
ZNF577,1556905_at,2,0.28588313
ZNF576,219089_s_at,2,0.33939043
ZNF572,1553229_at,2,0.15783893
ADGRG5,1555447_at,2,0.29312658
ADGRG3,220404_at,2,0.4347207
ADCY7,203741_s_at,2,0.5404742
ADCY5,228182_at,2,0.13988885
ADGRF4,1553031_at,2,0.1299449
ADGRF3,1553016_at,2,0.19687967
ADGRE2,207610_s_at,2,0.42252678
ADAT2,227213_at,2,0.40633467
MGP,202291_s_at,2,0.11493991
MGLL,225102_at,2,0.48191345
MGC32805,1554781_at,2,0.117970884
MICOS10,224867_at,2,0.6705178
MICALL1,55081_at,2,0.49441633
MAP3K19,221180_at,2,0.13706902
MAP3K11,203652_at,2,0.5621446
MAP3K1,225927_at,2,0.6484763
MAN1A1,221760_at,2,0.590571
MAML2,235457_at,2,0.41535547
MAP3K5,203837_at,2,0.54241824
MGAT4C,240649_at,2,0.12430731
MGAT4B,224598_at,2,0.62266254
ADARB2,220648_at,2,0.16992737
ADAP2,219358_s_at,2,0.38443398
ADCYAP1R1,226690_at,2,0.20034334
ADCYAP1,206281_at,2,0.09323806
ZNF606,229707_at,2,0.37516084
ZNF605,227822_at,2,0.36970267
ZNF598,225104_at,2,0.5138779
ZNF597,230542_at,2,0.25438246
ZNF583,1553221_at,2,0.28616408
ZNF582-DT,231260_at,2,0.21473138
ZNF611,208137_x_at,2,0.6064331
ZNF608,229817_at,2,0.34369406
ZNF606-AS1,1556725_a_at,2,0.26284575
ADAM8,205180_s_at,2,0.5188264
ADAP1,90265_at,2,0.5032638
ADAMTSL4,226071_at,2,0.30226055
ADAMTSL3,213974_at,2,0.17255305
MAP3K4,216199_s_at,2,0.5476443
MAP2K6,205698_s_at,2,0.43149602
MAP2K4,203266_s_at,2,0.4106381
ZNF627,224492_s_at,2,0.5010363
ZNF625,244406_at,2,0.29260534
ADCY3,209321_s_at,2,0.41766295
ADCY10P1,236832_at,2,0.36118603
ADCY10,217305_s_at,2,0.17765194
ADAT3,1553968_a_at,2,0.41697967
MAP3K9-DT,1565836_at,2,0.14726138
MAP3K9,213927_at,2,0.25984758
MAP3K8,205027_s_at,2,0.5011547
ZNF653,228864_at,2,0.25376302
ZNF644,222580_at,2,0.5901381
MFSD14B,223073_at,2,0.52102035
MGC16275,1558167_a_at,2,0.25541762
MGAT5B,238445_x_at,2,0.1680214
MGAT5,212098_at,2,0.6039771
MAP4K3-DT,242835_s_at,2,0.24052916
MAPK8IP1,213013_at,2,0.17316155
MAPK7,35617_at,2,0.38418728
MAPK6,207121_s_at,2,0.63689953
ZNF616,239007_at,2,0.22127043
ZNF667,236635_at,2,0.29840642
ADAMTS13,223844_at,2,0.22668761
ADAMTS12,221421_s_at,2,0.2306202
ADAMTS10,230341_x_at,2,0.38228527
ADAMTS1,222162_s_at,2,0.119530655
ADAM33,233868_x_at,2,0.4283458
ADAM30,221446_at,2,0.14656413
ACTR8,222707_s_at,2,0.41313592
ACTR6,218395_at,2,0.54015553
MAPK15,241357_at,2,0.2266683
MAPK13,210058_at,2,0.34471136
MARCHF10,237724_at,2,0.092922986
MAPRE1,200713_s_at,2,0.74657744
MFSD3,227296_at,2,0.23163262
MFSD2A,225316_at,2,0.26573718
ADAM21,207665_at,2,0.17163076
ADAM20,207422_at,2,0.16047539
ADAMTS20,220717_at,2,0.18514387
ADAMTS19,1553180_at,2,0.09262192
ADAMTS18,1553234_at,2,0.24292395
ADAMTS15,229004_at,2,0.17703402
ZNF70,243816_at,2,0.33445865
MFSD6,225325_at,2,0.50480485
MAPKBP1,213394_at,2,0.40229
MAPKAPK3,202788_at,2,0.62090045
MARK2,203942_s_at,2,0.37486526
MARF1,202386_s_at,2,0.6143155
MARCHF9,226454_at,2,0.4504083
ZNF684,232563_at,2,0.25519866
ZNF682,242915_at,2,0.322823
ZNF681,238962_at,2,0.27201632
ADAD1,231448_at,2,0.30428427
ADA,204639_at,2,0.6231424
ACY3,230481_at,2,0.28998277
ACY1,202740_at,2,0.4433806
ADAM5,216998_s_at,2,0.15631361
ADAM3A,217090_at,2,0.16155262
ACVRL1,210838_s_at,2,0.22201201
ACVR2A,205327_s_at,2,0.30334026
ACVR1C,1563182_at,2,0.18126906
MATN1-AS1,1557558_s_at,2,0.3670926
MARCHF5,218582_at,2,0.5377328
MARCHF3,213256_at,2,0.38531816
MFHAS1,225478_at,2,0.5503775
MFGE8,210605_s_at,2,0.22726446
ACTR5,219623_at,2,0.4635642
ACTR3C,223874_at,2,0.23943043
ADAM19,209765_at,2,0.4297682
ADAM18,207597_at,2,0.17641713
ADAM15,1555896_a_at,2,0.3830668
ADAM11,239837_at,2,0.2439587
ZNF668,219047_s_at,2,0.30568278
ZNF701,220242_x_at,2,0.3588152
MARVELD2,235141_at,2,0.2453657
MARVELD1,223095_at,2,0.41182333
MARK4,55065_at,2,0.53537977
MATN2,202350_s_at,2,0.20257206
ACSS3,219616_at,2,0.19656797
ACTR3B,218868_at,2,0.3125614
ACTR1A,200720_s_at,2,0.50854695
ZNF706,218059_at,2,0.7372403
ZNF764,57516_at,2,0.42382413
ZNF763,1558755_x_at,2,0.25033584
ZNF697,227080_at,2,0.2537007
ZNF696,220967_s_at,2,0.1933164
ZNF689,227294_at,2,0.46303126
ZNF732,1559274_at,2,0.07347426
ZNF721,215978_x_at,2,0.6450604
ZNF711,228988_at,2,0.40060258
ZNF781,1552785_at,2,0.24126609
MATN1,206904_at,2,0.20850755
MAT2B,217993_s_at,2,0.7018092
MAT2A,200768_s_at,2,0.7052469
MBLAC2,230298_at,2,0.3808066
METTL5,221570_s_at,2,0.6642072
METTL4,219698_s_at,2,0.40966293
MFSD12,220178_at,2,0.45547614
ACSBG1,206466_at,2,0.1738974
ACTL6B,206013_s_at,2,0.10368428
ACTG2,202274_at,2,0.20377515
ACTG1P17,1569368_at,2,0.26590246
ACOT8,204212_at,2,0.43824446
ACOT7,208002_s_at,2,0.47563446
ACSM3,210377_at,2,0.32465467
MFSD11,223242_s_at,2,0.4671179
MBD3L1,1552458_at,2,0.1928482
MBTPS1,201620_at,2,0.5497662
ZNF780A,238907_at,2,0.16316804
ACKR3,212977_at,2,0.30260393
ACKR1,208335_s_at,2,0.19497304
ACP6,218795_at,2,0.42930293
ACOXL,240189_at,2,0.17515092
ACOX3,204241_at,2,0.30471036
ACSM1,234197_at,2,0.1186185
ACSL5,218322_s_at,2,0.4732853
ACSL1,201963_at,2,0.615724
ZNF746,225848_at,2,0.50933754
ZNF74,205881_at,2,0.2525359
ZNF738,229700_at,2,0.52481836
ZNF787,213402_at,2,0.40819404
ZNF783,221876_at,2,0.38623542
ABTB3,228570_at,2,0.37896135
ABTB2,213497_at,2,0.2753048
ACE2,219962_at,2,0.13619964
ACE,227463_at,2,0.15288743
ACBD6,225317_at,2,0.54874396
ACBD5,225663_at,2,0.5973428
ACBD3,202324_s_at,2,0.58594674
ZNF790-AS1,235779_at,2,0.291125
ZNF836,1569077_x_at,2,0.38622838
ZNF831,1558827_a_at,2,0.2777569
ZNF77,229000_at,2,0.31709933
ZNF80,1556467_at,2,0.21998692
ACAP3,225529_at,2,0.46826193
ACO2,200793_s_at,2,0.57809746
ACO1,207071_s_at,2,0.36802936
ACACA,212186_at,2,0.37079114
MCC,206132_at,2,0.21388465
MCOLN2,230110_at,2,0.33900845
MCMDC2,1569677_a_at,2,0.09586967
MCM7,208795_s_at,2,0.66015613
MEOX2,206201_s_at,2,0.058364596
METTL22,218945_at,2,0.46699327
ZNF830,226315_at,2,0.5290784
ZNF829,238952_x_at,2,0.32609496
ZNF826P,1560853_x_at,2,0.19650006
ACADSB,226030_at,2,0.39225587
ACADL,206068_s_at,2,0.11078624
ZNF818P,238148_s_at,2,0.2724774
MBOAT2,226726_at,2,0.41200742
MBNL1-AS1,235173_at,2,0.37583038
MCHR2-AS1,231129_at,2,0.24045661
ACAA1,214274_s_at,2,0.6293773
MDC1,203062_s_at,2,0.5304562
MCUR1,220094_s_at,2,0.5818446
MEGF9,212830_at,2,0.541219
MEGF8,227327_at,2,0.3902808
ZNF865,238665_at,2,0.2945648
ZNF862,226808_at,2,0.45312157
ZNF853,232884_s_at,2,0.24946475
ZNF85,206572_x_at,2,0.53101563
ABHD16A,224756_s_at,2,0.54777616
ABHD13,234993_at,2,0.49399614
ABRAXAS2,212837_at,2,0.507573
ABRAXAS1,226521_s_at,2,0.44875973
ABRA,1552732_at,2,0.10478987
ABLIM1,200965_s_at,2,0.49920446
ABCF2-H2BK1,207622_s_at,2,0.34883183
MESP2,1556015_a_at,2,0.29534334
MCRIP2,1553715_s_at,2,0.48896387
MCPH1-DT,1556301_at,2,0.26070362
MCPH1-AS1,230562_at,2,0.24355134
ME3,204663_at,2,0.40853187
MDS2,1562731_s_at,2,0.31543976
MDP1,228763_at,2,0.4549656
MCM6,201930_at,2,0.6557669
MCM5,216237_s_at,2,0.70736754
ABCE1,201873_s_at,2,0.5686744
ABCD4,203981_s_at,2,0.50399494
ABHD4,218581_at,2,0.47889584
ZNF844,228346_at,2,0.41888958
ZNF843,1564362_x_at,2,0.33844402
ZNF84,204453_at,2,0.48040214
ZNF839,221709_s_at,2,0.39117628
ZNHIT6,218932_at,2,0.5182655
MEMO1,219065_s_at,2,0.6726467
MEIS3,228327_x_at,2,0.17508832
MEIS1,204069_at,2,0.29179794
MDM1,213761_at,2,0.51777726
MDH2,209036_s_at,2,0.7409787
MDH1B,1558077_s_at,2,0.1423449
MDGA2,1570114_at,2,0.080662176
ZNG1A,226193_x_at,2,0.68017197
ZNF99,1553885_x_at,2,0.10040479
ABCC12,1552590_a_at,2,0.08374987
ABCC11,1554911_at,2,0.13756275
ABCC10,213485_s_at,2,0.43625745
ABCC1,202804_at,2,0.6051904
ABHD12B,237974_at,2,0.13085946
ABHD10,218633_x_at,2,0.49501574
ABHD1,1560117_at,2,0.21574217
ZZZ3,212893_at,2,0.49846807
A1CF,220951_s_at,2,0.2187569
A2M,1558450_at,2,0.24953231
A2ML1,1564307_a_at,2,0.1419496
ZSWIM1,223607_x_at,2,0.34537274
ZSCAN9,239406_at,2,0.36213252
ZSCAN5A,219904_at,2,0.3001746
ZSCAN4,1552852_a_at,2,0.11770566
ZWILCH,222606_at,2,0.5474086
ZSWIM8,212359_s_at,2,0.5570852
ZSWIM7,229119_s_at,2,0.49699232
ZXDB,228005_at,2,0.477117
MED4,217843_s_at,2,0.6074786
MED24,213043_s_at,2,0.5135865
MEDAG,1565765_x_at,2,0.35083833
ZSCAN2,231188_at,2,0.3517584
FLOT2,201350_at,2,0.5988814
FMR1,215245_x_at,2,0.57866335
FMO3,206496_at,2,0.119680345
SLC1A3,202800_at,2,0.2530351
SLC1A1,213664_at,2,0.13399474
SLC19A3,239345_at,2,0.1400603
AAGAB,202852_s_at,2,0.47218445
MED21,209362_at,2,0.47831273
MED20,212872_s_at,2,0.41970465
MED19,226293_at,2,0.48253915
MED18,221650_s_at,2,0.21636213
MEGF6,226869_at,2,0.45788497
MECR,242837_at,2,0.54277706
ZSCAN23,1564039_at,2,0.117095076
ZSCAN10,1553875_s_at,2,0.21653162
ZRSR2,213876_x_at,2,0.5053549
A4GALT,219488_at,1,0.19621438
A1BG,229819_at,1,0.41817346
A1BG-AS1,232462_s_at,1,0.12707669
A2M-AS1,1564139_at,1,0.2724889
ZSWIM6,226208_at,1,0.5360359
ZSWIM5,232336_at,1,0.2045103
ZSWIM4,231915_at,1,0.0431098
ZSWIM3,228223_at,1,0.19049601
ZSWIM2,1554932_at,1,0.05068198
ABCA17P,231164_at,1,0.18914224
ZSCAN26,213218_at,1,0.3241293
ZSCAN29,226562_at,1,0.451424
ZSCAN31,222016_s_at,1,0.27097028
ABCB10,223320_s_at,1,0.5964912
ABCB7,209620_s_at,1,0.5264197
AARS1,201000_at,1,0.5382753
AARSD1,222064_s_at,1,0.41845462
AATBC,1563088_a_at,1,0.28817108
ZSCAN12P1,239157_at,1,0.12494166
ZSCAN16,219676_at,1,0.40345266
ZSCAN21,223424_s_at,1,0.3636354
ZSCAN22,228769_at,1,0.3252358
ZNRD2,203114_at,1,0.483254
ZNRD2-DT,1557131_at,1,0.10789507
ZNRF2P1,1556404_a_at,1,0.14107348
MCM2,202107_s_at,1,0.62303734
MCM3,201555_at,1,0.5310001
MEA1,218061_at,1,0.64318454
MCRIP1,225329_at,1,0.4965379
MCRS1,202556_s_at,1,0.45498466
MED14OS,231226_at,1,0.21276708
MED15,222175_s_at,1,0.55420595
MED15P9,1561433_at,1,0.23655663
MDH1,200978_at,1,0.71599466
MDK,209035_at,1,0.34662363
MEIS2,207480_s_at,1,0.2160588
MEIS3P1,214077_x_at,1,0.2573555
MELK,204825_at,1,0.42849663
MEN1,202645_s_at,1,0.5328566
MED9,218372_at,1,0.35616744
MED29,225708_at,1,0.49184406
MEPCE,219798_s_at,1,0.5549193
MEPE,221150_at,1,0.1013306
